Departure.AirportCode;Departure.Scheduled.Date;Departure.Scheduled.Time;Departure.Actual.Date;Departure.Actual.Time;Departure.Terminal.Name;Departure.Terminal.Gate;Departure.Status.Code;Departure.Status.Description;Arrival.AirportCode;Arrival.Scheduled.Date;Arrival.Scheduled.Time;Arrival.Actual.Date;Arrival.Actual.Time;Arrival.Terminal.Name;Arrival.Status.Code;Arrival.Status.Description;OperatingCarrier.AirlineID;OperatingCarrier.FlightNumber;Equipment.AircraftCode;Status.Code;Status.Description;Arrival.Terminal.Gate;MarketingCarrierList.MarketingCarrier;MarketingCarrierList.MarketingCarrier.AirlineID;MarketingCarrierList.MarketingCarrier.FlightNumber
BER;2023-03-01;06:20;2023-03-01;06:21;1;B36;DP;Flight Departed;STR;2023-03-01;07:40;2023-03-01;07:28;1;LD;Flight Landed;EW;8000;320;LD;Flight Landed;;;;
BER;2023-03-01;06:20;2023-03-01;06:22;1;A35;DP;Flight Departed;CGN;2023-03-01;07:30;2023-03-01;07:25;1;LD;Flight Landed;EW;8058;320;LD;Flight Landed;B20;;;
BER;2023-03-01;06:30;2023-03-01;06:33;1;B10;DP;Flight Departed;FRA;2023-03-01;07:40;2023-03-01;07:51;1;LD;Flight Landed;LH;173;32Q;LD;Flight Landed;Area A;[{'AirlineID': 'AC', 'FlightNumber': '9116'}, {'AirlineID': 'UA', 'FlightNumber': '8973'}];;
BER;2023-03-01;06:30;2023-03-01;06:26;1;B21;DP;Flight Departed;MUC;2023-03-01;07:40;2023-03-01;07:45;2;LD;Flight Landed;LH;1957;32V;LD;Flight Landed;G30;[{'AirlineID': 'A3', 'FlightNumber': '1590'}, {'AirlineID': 'OU', 'FlightNumber': '5431'}];;
BER;2023-03-01;06:50;;;1;B14;NO;No Status;BRU;2023-03-01;08:15;;;;NO;No Status;SN;2592;320;CD;Flight Cancelled;;[{'AirlineID': 'HU', 'FlightNumber': '8552'}, {'AirlineID': 'LH', 'FlightNumber': '5572'}, {'AirlineID': 'TP', 'FlightNumber': '7491'}, {'AirlineID': 'UA', 'FlightNumber': '9920'}];;
BER;2023-03-01;07:00;2023-03-01;07:03;1;B01;DP;Flight Departed;ZRH;2023-03-01;08:30;2023-03-01;08:31;;LD;Flight Landed;LX;963;32B;LD;Flight Landed;;[{'AirlineID': 'LH', 'FlightNumber': '5834'}, {'AirlineID': 'SQ', 'FlightNumber': '2913'}];;
BER;2023-03-01;07:15;2023-03-01;07:24;1;B06;DP;Flight Departed;FRA;2023-03-01;08:25;2023-03-01;08:47;1;LD;Flight Landed;LH;045;321;LD;Flight Landed;A21;[{'AirlineID': 'AC', 'FlightNumber': '9636'}, {'AirlineID': 'OU', 'FlightNumber': '5475'}, {'AirlineID': 'TP', 'FlightNumber': '7701'}];;
BER;2023-03-01;07:30;2023-03-01;08:16;1;A30;DP;Flight Departed;LPA;2023-03-01;11:35;2023-03-01;11:59;;LD;Flight Landed;EW;8186;32A;LD;Flight Landed;;;;
BER;2023-03-01;07:40;2023-03-01;07:48;1;A20;DP;Flight Departed;PMI;2023-03-01;10:20;2023-03-01;10:23;;LD;Flight Landed;EW;8590;320;LD;Flight Landed;;;;
BER;2023-03-01;07:45;2023-03-01;07:47;1;B07;DP;Flight Departed;FRA;2023-03-01;08:55;2023-03-01;09:08;1;LD;Flight Landed;LH;175;321;LD;Flight Landed;A24;[{'AirlineID': 'AC', 'FlightNumber': '9436'}, {'AirlineID': 'SQ', 'FlightNumber': '2207'}, {'AirlineID': 'TP', 'FlightNumber': '7711'}];;
BER;2023-03-01;08:30;2023-03-01;08:28;1;B06;DP;Flight Departed;STR;2023-03-01;09:50;2023-03-01;09:41;1;LD;Flight Landed;EW;2003;32A;LD;Flight Landed;;;;
BER;2023-03-01;08:45;2023-03-01;09:03;1;A06;DP;Flight Departed;FRA;2023-03-01;09:55;2023-03-01;10:14;1;LD;Flight Landed;LH;177;321;LD;Flight Landed;A38;[{'AirlineID': 'A3', 'FlightNumber': '1580'}, {'AirlineID': 'AC', 'FlightNumber': '9630'}, {'AirlineID': 'CX', 'FlightNumber': '6700'}, {'AirlineID': 'NH', 'FlightNumber': '6208'}, {'AirlineID': 'OU', 'FlightNumber': '5465'}, {'AirlineID': 'SQ', 'FlightNumber': '2017'}, {'AirlineID': 'UA', 'FlightNumber': '9214'}];;
BER;2023-03-01;09:00;2023-03-01;09:00;1;B07;DP;Flight Departed;MUC;2023-03-01;10:10;2023-03-01;10:10;2;LD;Flight Landed;LH;1929;32M;LD;Flight Landed;K18;[{'AirlineID': 'A3', 'FlightNumber': '1591'}, {'AirlineID': 'TP', 'FlightNumber': '7705'}, {'AirlineID': 'UA', 'FlightNumber': '9296'}];;
BER;2023-03-01;09:10;2023-03-01;09:26;1;A37;DP;Flight Departed;DUS;2023-03-01;10:25;2023-03-01;10:30;;LD;Flight Landed;EW;9051;32Z;LD;Flight Landed;B27;;;
BER;2023-03-01;09:10;2023-03-01;09:20;1;B01;DP;Flight Departed;VIE;2023-03-01;10:25;2023-03-01;10:29;3;LD;Flight Landed;OS;224;321;LD;Flight Landed;;;LH;6322
BER;2023-03-01;09:30;2023-03-01;09:42;1;A03;DP;Flight Departed;ZRH;2023-03-01;11:00;2023-03-01;11:14;;LD;Flight Landed;LX;975;223;LD;Flight Landed;;[{'AirlineID': 'AC', 'FlightNumber': '6797'}, {'AirlineID': 'LH', 'FlightNumber': '5836'}];;
BER;2023-03-01;10:00;2023-03-01;10:09;1;B06;DP;Flight Departed;MUC;2023-03-01;11:10;2023-03-01;11:18;2;LD;Flight Landed;LH;1931;320;LD;Flight Landed;K20;[{'AirlineID': 'AC', 'FlightNumber': '9350'}, {'AirlineID': 'KM', 'FlightNumber': '2831'}, {'AirlineID': 'SQ', 'FlightNumber': '2177'}, {'AirlineID': 'UA', 'FlightNumber': '9208'}];;
